,WB_changes_open,WBDefinition,Happiness_Change,LifeSatisfaction_Change,PhysicalHealth_Change,MentalHealth_Change,MeaningPurpose_Change,CharacterVirtue_Change,SocialRelationships_Change,Financial_Change,Spirituality_Change,Education_Change,Employment_Change,Recreation_Change,SelfEsteem_Change,Family_Change,Safety_Change,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,Study_Rating,MindfulnessChanges_open,StressChanges_open,StudyExpectation_open,ChangesWithinSelf_open,Suggestions_open,Chatbot_supportive,Chatbot_easy,Chatbot_efficient,Chatbot_clear,Chatbot_exciting,Chatbot_interesting,Chatbot_inventive,Chatbot_leadingedge,Chatbot_Rating,Chatbot_LikeDislike,Study_supportive,Study_easy,Study_efficient,Study_clear,Study_exciting,Study_interesting,Study_inventive,Study_leadingedge,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,Condition,RandomID,id,BaselineDate,Time
61,"I think my idea of wellbeing has stayed relatively the same - the idea that you are in control of your emotional, physical and mental aspects of self and feel like you can manage negativity, stress, etc.","Again, my idea of wellbeing is the level to which you can control your emotional, physical and mental aspects of self. This involves controlling your thoughts and feelings when necessary and being self aware of what is going on in your life and body. In turn, you enhance your wellbeing, which reflects upon the quality of your experiences and your sense of purpose and contentment. ",3,2,4,2,3,2,2,3,3,4,3,4,2,4,3,"Life Satisfaction,Close Social Relationships,Self-esteem",NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,No,NA,5,"My understanding is relatively the same, but the study confirmed that by practicing mindfulness we can exert more control over our lives and enhance our wellbeing through various techniques.","My understanding of stress has not changed, but the study did confirm that given the right training we can learn to potentially control our stress response that is typically detrimental if left unchecked.",It likely is my own fault due to other stressful aspects of life but I don't particularly believe the training has enhanced my mindfulness goals like I initially thought - though I may have needed to participate even more deeply.,I feel like by the end of the study due to the chaotic nature of life I feel mostly the same.,"The study was great, but because I was also going through a lot while completing the study I never got the time I felt to properly benefit from the training and really absorb the techniques and goals of the study. Perhaps making the training more intensive or set at a unique time besides that daily check-ins would help participants build their idea of mindfulness.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,5,4,4,4,51,3,18,63,27,32,34,5,45,21,14,28,2,17,2,10,7,10,9,34,7,9,7,5,6,7,13,12,24,29,10,Control,6001,4186,9/8/2023,2
62,"My wellbeing has changed from the beginning of the study because I've learned many practices and ways to manage my stress, and overall health and wellbeing. ","I would define wellbeing as a combination of our physical, mental, emotional, and social health. ",4,4,3,4,3,3,4,3,3,4,3,3,2,2,4,"Happiness,Mental Health,Physical Health",1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,"My understanding of mindfulness changed because before the experiment I thought mindfulness had to be done in specific conditions. Throughout the experiment I realized that I can practice mindfulness anywhere, anytime. ","My understanding of stress still, hasn't changed. It was confirmed to me that stress is the pressures of everyday life.  ","The training met my expectations because going into it I wasn't expecting much but, I've learned many mindfulness exercises I can practice everyday. ","I noticed I have a more optimistic outlook on life, and try to see the positive in everyday life. ",I have no suggestions. ,6,7,6,7,5,5,6,4,6,The chatbot was great and easy to use. I would only change how fast he sends info.,NA,NA,NA,NA,NA,NA,NA,NA,58,3,26,57,29,28,33,5,55,17,17,23,5,13,5,8,3,8,4,45,7,9,11,11,7,10,8,6,20,23,12,Domain,8026,4018,9/7/2023,2
64,not much,"being mentally physically and emotionally well, being in touch with the inner self, having general life satisfaction ",3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,"Close Social Relationships,Life Satisfaction,Safety",NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,No,NA,5,"mindfulness is still the same as i originally thought it was, to be mindful of inner thoughts and feelings and being able to guide them into a calm nature","it didn’t really change, change is the unease and overload of the body to handle the challenges and workload of life","it was a little better than i thought, i expected breathing or mental excersise which is what i got but the layout of the training was better than i thought it would be ",nothing really changed about myself that i have noticed,"nothing really, the experimenter was pretty repetitive which got tedious but it’s understandable why so ",7,7,6,6,2,3,1,2,5,"chatbot was unexpectedly easy to talk to, was mostly sort of accurately responsive and had good feedback",NA,NA,NA,NA,NA,NA,NA,NA,42,3,23,56,17,14,20,3,40,14,23,19,2,6,4,5,6,9,5,31,7,3,4,9,8,7,8,4,14,11,25,Domain,3758,3343,9/6/2023,2
65,I think I now understand the meaning of happiness and well being. Also I now understand the importance of taking breaks and enjoying every moment. ,"Wellbeing according to me means being healthy, happy and content, both physically and mentally.Healthy relationships and strong social support also contributes to well being. ",4,4,4,5,5,5,5,5,4,5,3,5,5,3,3,"Family,Close Social Relationships,Happiness",3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,No,NA,6,Mindfulness is a new concept that not everyone is aware of. Before this study I did not have an understanding of what Mindfulness means and why it is important. Now I know that mindfulness focuses on being intensely aware of what one is sensing and feeling in the moment.,Stress is basically any kind of emotional strain or tension. I now understand that stress can be handled well if we understand the importance of mental and physical health.,The training has taught me a lot of things such as understanding the importance of mental and physical health. It has met all expectations since I wanted to learn more about mindfulness and well being along with handling tension well. This is why I think that this study was very helpful.,Yes I have become a more understanding and happy person. I now know the importance of maintaining a good balance between taking breaks and studying. ,No ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,7,4,4,6,4,7,33,3,20,62,38,43,9,6,58,26,17,19,6,20,8,10,6,6,6,54,10,12,13,14,5,14,13,15,30,24,25,Control,2554,4168,9/8/2023,2
66,I feel like I am making a more conscious effect to observe my emotions and to do breathing techniques to feel calmer general. I feel like my mental wellbeing has slightly improved with this new perspective.,"I don't remember what I had put at the beginning, but wellbeing means being able to feel well mentally and physically and emotionally through practices or healthy choices like exercise.",4,3,2,4,3,3,2,3,3,2,3,2,3,3,3,"Close Social Relationships,Life Satisfaction,Meaning  and Purpose of Life",NA,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,3,"I thought mindfulness was just meditating and trying to keep your mind blank. However, now I know that there are many other things that you can do, such as journaling. And, that it is okay to have thoughts when you are trying to do mindfulness activities. ","Yes, it made me realize that stress is separate from who I am as a person, and that I have the ability to change how my stress affects me. ","I did not have a lot of expectations to start with, but I found that the activities were a bit repetitive. I was pleasantly surprised to find myself thinking of doing the activities more and more though because they seem to help a little. ",I feel less stressed and feel more capable in managing my anxiety. ,N/A,4,7,5,7,1,1,5,3,4,"I did not think that the chatbot had a lot of personality, it seemed a bit boring and bland. I liked that their instructions were easy to understand though.",NA,NA,NA,NA,NA,NA,NA,NA,59,3,19,36,26,24,38,3,45,10,12,14,2,3,4,6,4,10,8,44,11,12,6,9,6,12,4,10,11,25,7,Domain,8559,4114,9/8/2023,2
67,"Due to personal isssues I had to deal with this week, I feel that my wellbeing wasn't as good or at least as stable as it usually is. However, I was somehow able to feel more relaxed than I usually am by not worrying about things that haven't happened yet.",Wellbeing is a state in which you found yourself at peace physically and mentally. It can give you health and satisfaction.,1,3,2,3,3,3,1,3,3,4,3,4,3,2,4,"Close Social Relationships,Happiness,Mental Health",2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,I learned that mindfulness is also about not reacting to your intrusive thoughts and feelings. Mindfulness is more about being able to refocus your attention towards the mindfulness exercises instead of just not thinking at all.,"It confirmed that stress occurs when we feel we have no control over certain situations, and we ""cope"" with excessive worrying about the outcomes. While taking part in the study, I never felt stressed because I was in total control of my answers.","I was hoping to learn mindfulness techniques other than meditation because my schedule makes it time consuming. I had never thought of colouring as a mindfulness technique, so it was great to learn a new technique that can also be fun.",The colouring books allowed me to detach myself from my thoughts. I was purely concerned with choosing the colours I liked and colouring as much as I could that I wasn't worrying about things such as how good my colouring abilities were. I was relaxed because I was just living in the moment. ,"I believe participants would benefit more if some of the questions could be further explained, as it was something hard to understand some of the questions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,7,3,4,4,3,4,38,3,25,46,15,17,20,3,40,19,17,10,3,7,5,8,6,9,6,45,12,6,9,9,9,9,8,3,14,25,11,Control,7329,3706,9/8/2023,2
68,"I have noticed improvements in being in more control of my emotions and in my ability to fall asleep, and I ","The term wellbeing"" means. It's about feeling emotionally stable, being able to manage stress effectively, having good mental clarity, and experiencing a sense of inner peace to me. I define wellbeing as the state of overall health and contentment.",3,4,2,2,3,4,3,3,3,3,3,3,3,2,3,"Education,Mental Health,Life Satisfaction",NA,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,No,NA,5,"No, my understanding of ""mindfulness"" did not change.","No, my understanding of ""stress"" did not change. What was confirmed to me was that stress is influenced by how we perceive and react to external factors.",The training has met my goals and expectations to a moderately high degree.,I noticed that I was able to have more mental clarity about myself while participating in the study.,"No, there is nothing else you shuld know about my experience. No, I do not have any suggestions.",5,7,6,7,3,3,3,2,5,My overall impression of this chatbot is positive. I liked that it provided me with advice and affirmatons after expressing why I was feeling stressed.,NA,NA,NA,NA,NA,NA,NA,NA,53,3,30,49,24,16,35,4,54,24,14,11,6,12,5,6,7,10,6,39,12,5,5,8,9,7,3,3,27,20,8,Choice,4429,3997,9/8/2023,2
69,I feel like my wellbeing has improved maybe minorly. I feel like my mental health has slightly improved due to at least trying to change my views on negative aspects of life and so my mental load has been reduced.,Wellbeing means to be healthy and at peace mentally and physically.,4,3,4,4,3,3,3,3,3,4,3,4,3,3,3,"Life Satisfaction,Happiness,Mental Health",2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,Nothing really changed in my understanding. I confirmed that mindfulness is involved with all aspects of yourself.,my understanding of stress has changed by understanding you can change your view on the stresses in your life.,I was able to learn new techniques that aided in my journey of mindfulness.,I am more aware of my emotions now and how I can change them to a more positive mindset.,n/a,7,7,7,7,3,4,2,2,5,I liked that in some way it simulated a conversation with another human being,NA,NA,NA,NA,NA,NA,NA,NA,29,3,25,57,26,30,12,5,51,26,26,5,4,17,5,5,5,9,9,48,10,11,9,9,9,11,8,11,15,30,8,Domain,6123,3535,9/6/2023,2
70,"I'll say my wellbeing has generally improved, and thats ensured by the fact that I'm now equipped with multiple stress-management strategies","Wellbeing means to have a good mental standing, to be sound of mind and happy/comfortable with yourself and situation",4,4,4,5,3,4,2,4,3,3,3,4,5,2,3,"Close Social Relationships,Meaning  and Purpose of Life,Employment",NA,NA,NA,NA,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,No,NA,5,"My understanding did change, in that mindfulness Is more of a practice that needs to be worked on daily and not just a current project or state of mind","Stress involves the components of our lives we have little to control over, which could be daily occurrences we hadn't planned for or being stuck in a situation with no clear solution","The training has met my goals and expectations, as it required me to think more critically about my life, goals and how I interact with those around me","I noticed I was much more attentive of my feelings, like I could take a step back and recognize how and why I was feeling a certain way","A bit more differentiation in the questions would be nice, but the bot proved to work well and the study was super convenient to complete.",7,6,5,3,2,4,4,3,5,"I liked how it knew what I was saying every time, and it was always super supportive. I could tell though that it's chatGPT ai was heavily nerfed, which I guess is good to avoid dangerous/harmful answers.",NA,NA,NA,NA,NA,NA,NA,NA,37,3,21,56,26,37,15,6,47,12,21,23,6,15,9,6,7,6,2,45,10,11,6,12,6,9,10,10,22,30,11,Domain,1904,3796,9/6/2023,2
72,I became more focused and way more positive ,"Is the state of finding balance in your life, live the current moment without worrying about the past or the future and the state of being satisfied and comfortable ",4,5,3,4,4,3,3,3,3,4,3,2,4,4,3,"Life Satisfaction,Family,Self-esteem",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,Yes,My religion ,6,Not to much but I experienced better the state of being focused and positive overall ,"No, it is still a feeling of uncomfortable when putting in a difficult situation ","Through the last week I felt more positive and confident, I assume one reason of that are the exercises that I was doing daily ",When I was in a stressful or difficult situation I was trying to step back a little and working on controlling my emotions and thoughts ,"When I doing the exercises I was closing my eyes since I feel more focused doing so, I wish I could listen to the instructions rather reading them ",7,7,7,7,6,7,6,6,6,"I liked how supportive the chat bot was I was impressed by that and it helped a lot, I happened that I pressed on a button twice and the chatbot started glitching a bit after that but it came back good ",NA,NA,NA,NA,NA,NA,NA,NA,42,3,40,95,42,36,23,6,82,32,30,33,5,18,6,7,9,6,7,63,14,13,14,10,12,12,7,15,25,28,21,Choice,2716,3595,9/8/2023,2
73,"The study was quite short, so I'm not sure it has changed much- but it might have reminded me that once a day I should take a step back to relax with a ''mindless"" activity of sorts.","Wellbeing refers to the condition of an individual's physical and mental state. I can acknowledge now that it is important to keep track of my wellbeing, but I doubt I will change much.",3,4,3,3,4,4,3,2,3,3,3,4,3,3,3,"Happiness,Recreation,Close Social Relationships",1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,No,NA,7,"No, I think the idea of mindfulness remained the same, however it's importance became slightly more significant to me.","No, I still feel as if stress is overbearing but manageable regardless of whatever mindfulness techniques I have applied throughout the day.","I had no goals nor expectations therefore it did not meet anything in particular, it wasn't an underwhelming or overwhelming experience.",Perhaps my ability to stop and think about what I need to do improved?,A week feels too short of a time period for these tasks to help me skillfully manage the stressful tendencies that have developed over the past 5 years.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,5,6,7,6,7,41,3,24,66,33,38,35,5,57,22,21,23,3,11,2,8,6,9,10,44,11,14,5,5,9,15,12,15,17,18,11,Control,6096,4192,9/8/2023,2
74,my wellbeing has improved since the start of this study. since i was able to be more mindful on my actions and the things i do throughout the day.,"Wellbeing means how the mind affects the body and how it can affect a persons day to day life. having a good wellbeing means you can see the positives on the actions you undergo, whereas a bad wellbeing means a person will feel unmotivated and not be able to do much.",5,4,3,4,4,5,5,5,4,5,3,4,5,5,5,"Family,Financial and Material Stability,Life Satisfaction",NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,No,NA,6,yes i was able to understand the mindfulness change in myself as i was able to think about my day to day life and reflect on the outcomes of the day.,yes i was able to understand my stress changes during the experiment as my stress levels decreased significantly. I was able to feel like i was on top of things.,it helped me signifficantly because i was able to reflect and decrease my stress levels which helped me become more efficient in doing the daily tasks that i had to do,I was able to notice that i increased my productivity and mental health while doing these meditation exercises every day for the past 7 days,i think that the chat bot should be different every day to have a more personalized experience. rather than having the same 3 choices.,6,6,4,5,3,5,6,4,5,my overall experience with the chatbot was not bad but i just hoped that it would be more personalized based on the experiences that was said in the chatbox ,NA,NA,NA,NA,NA,NA,NA,NA,40,3,34,81,33,41,22,6,67,27,26,28,6,13,6,7,8,5,7,47,13,8,8,8,10,12,10,14,24,29,28,Choice,2597,3808,9/8/2023,2
77,Lot ,Well being is you mentally physical and spiritual state is in a good state,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,"Life Satisfaction,Mental Health,Happiness",3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2,No it’s just breathing and controling your thoughts by focusing on other things ,No stress will always be stress if it doesn’t kill you one day it will ,None I hate commitment and having to do this every day was a challenge so hard ,Yea just that I got was angry and sad almsot every day I just don’t wanna do this anymore ,No just know it’s hard mentally to keep up everyday I can barley even brush my teeth every day I don’t wanna get out of bed ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,7,1,1,1,1,65,3,6,19,6,7,31,1,12,9,5,5,1,3,5,4,3,9,8,21,3,3,9,3,3,15,9,3,5,5,0,Control,4870,4333,9/9/2023,2
79,"My wellbeing has considerably increased. I would not say that I am only positive emotions now, but I have felt happier during more moments of the past week and have had happier experiences with friends and family. They have helped distract me from some of the negative thoughts and emotions I have.","Wellbeing refers to a satisfactory state of life for an individual in regard to factors like finances, relationships, physical, emotional, and mental health, and more.",4,4,5,3,3,3,4,3,4,4,3,3,4,4,3,"Life Satisfaction,Family,Close Social Relationships",NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,No,NA,5,"My understanding of mindfulness did not change as the experiment only confirmed that mindfulness refers to how we observe, think, and reflect on our own thoughts and emotions. This was confirmed through all the exercises I participated in as they asked me to provide a brief, short reflection of what I felt during experience.","My understanding of stress did not change as the exercises only confirmed that stress refers to any stimuli (thoughts or real-life situations) that trigger negative emotions such as sadness, anger, frustration, regret, guilt, and more. This was confirmed through the mindfulness exercises that asked me to focus on what preoccupying thoughts were making me sad as that was a little distressing.","The training met a little bit of my expectations as it at least provided me with a framework of exercise that I can do to be more mindful and take care of my emotional and mental health more. Also, one of the training methods was more effective at changing my thoughts and feelings than the others, so that fulfilled my goal of finding at least a somewhat effective method of mindfulness.","I only noticed a little bit of change while participating in this study. That change was how I thought about the people I had lost as I used to only think of how they are gone, but the exercises helped me wish them happiness despite their absence in my life.","In day 1 of the study, I did not understand the instruction ""type the day of the study in the chat box"" as I thought this meant to type the calendar date, not day 1 of assessment. So I was not able to do any exercise with the chat A.I. as a result.",7,4,5,5,4,5,6,5,5,I thought the chatbot was very well-designed as it was able to recognize the specific situations I was frustrated with and respond to them like a human. Its responses did not seem pre-written and were adaptive.,NA,NA,NA,NA,NA,NA,NA,NA,40,3,22,40,29,36,34,4,51,16,12,12,5,8,5,5,5,9,8,47,13,13,7,7,7,11,11,15,23,28,20,Domain,8827,3280,9/6/2023,2
80,"It's pretty much the same. I don't notice much difference, though I have been more occupied with school, so I haven't been too focused on my problems lately.",I define wellbeing as being physically and mentally alright and capable of doing daily tasks and more.,3,4,2,3,3,3,4,3,3,4,3,2,2,3,3,"Happiness,Physical Health,Mental Health",1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,No it didn't. I believe mindfulness to be able to be aware of your thoughts and emotions and have some control over it.,I'm not sure. Stress to me just means bad feelings and emotions as a result of negative things happening in your life.,"It didn't really meet my expectations. I thought it would have a little more of an impact. If anything, the colouring frustrated me because I couldn't colour properly on an ipad or on my laptop.","I had changes to myself because of school starting. I have been more tired and sleeping earlier, eating less, and working more on schoolwork.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,6,3,4,4,3,53,3,12,46,23,32,37,5,35,22,14,10,4,4,5,4,4,10,10,34,10,9,6,3,6,4,12,11,11,10,10,Control,9010,3565,9/9/2023,2
81,A little bit more. I try to look at things differently.,"Wellbeing means acknowledging my emotions and thoughts, but separating them from my sense of self.",3,4,2,3,3,3,3,3,3,3,4,3,3,4,3,"Spirituality,Family,Character and Virtue",NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,2,NA,Yes,Religion,7,"Mindfulness is being aware of my needs, and feelings, and also my true sense of self, while maintaining my social relationships, ad=nd not letting my emotions overtake me.","No, it didn't change. It remained the same. Stress is an emotion that should be combated by looking at a situation positively and working through it.",The training met my goals and expectations at least 75%.,I looked at things from a more positive perspective. I tried to differentiate my sense of self from my emotions on multiple occasions in real life.,:),7,6,7,7,7,7,7,6,6,"It was nice, and encouraging, and I liked that. It provided its insights and gave advice on my responses which was also nice, since it felt less robotic.",NA,NA,NA,NA,NA,NA,NA,NA,47,3,31,80,36,36,39,5,67,30,20,30,6,21,6,4,6,9,7,50,12,8,9,11,10,10,7,15,35,11,8,Choice,1205,3526,9/6/2023,2
82,"I think from the start of the study until now, my wellbeing has definitely improved and I think it will continue to improve due to the amount of mindfulness practices I have learned about and will continue to apply to my life. ","the term ""wellbeing"" to me still means being content and happy with where you are in life ",4,4,3,4,3,4,4,3,3,3,3,4,4,4,3,"Happiness,Meaning  and Purpose of Life,Close Social Relationships",1,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,7,yes it did. I feel as though I have a greater appreciation for being mindful and in tune with my emotions.,"my idea of stress did not change, however, now I've learned about different ways I can manage stress.",The training has met my goals and expectations and has provided me with numerous different ways I can improve my wellbeing.,I noticed that I've become more open to trying out different methods of relaxation and meditation.,I do not have any suggestions.,7,7,7,7,6,7,7,7,7,I was very impresses with how quickly the chatbot came up with ideas for me and provided me with numerous different mindfulness activities,NA,NA,NA,NA,NA,NA,NA,NA,49,3,33,75,36,30,22,5,69,24,27,24,5,12,6,9,7,7,7,52,11,11,10,10,10,9,12,11,19,35,13,Domain,5547,3316,9/9/2023,2
83,It hasn't changed much but those coloring activities were nice stress-free moments,"Wellbeing means taking care of your body, mind and soul to achive happiness",3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,"Mental Health,Physical Health,Financial and Material Stability",NA,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,No,NA,4,"Mindfulness could start from a single , simple activity such as coloring for 5 mins which helps you relax","My understanding of stress didn't change. It has confirmed to me that even when you are doing calming activities, stress can interrupt those moments.",It has helped me calm myself during the activites that was given.,I have realized simple activity such as coloring really helps me organize my thoughts and relaxing,"Often times, during coloring i find myself lost in thoughts even though its relaxing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,7,4,5,5,3,55,3,11,72,28,16,23,3,39,22,22,28,2,3,7,9,6,8,6,51,11,12,11,5,12,13,13,7,11,35,44,Control,1784,4306,9/9/2023,2
85,"My wellbeing has definitely improved a little but far from drastic changes. The exercise have given me outlets to release stress and think about positive events in my life but I have only been practicing these exercises for a week so large changes cannot be expected. However, it has made me more grateful for my family and friends that I cherish and should not take for granted. ","Wellbeing is about the physical and mental wellbeing of a person. This includes, meditating, relaxing your muscles and even finding joy in recreational activities. It also means being content with your life and what it has offered to you such as a loving family or close bonds with friends. To have a better wellbeing, you must accept reality but be thankful for the opportunities it has given you.",5,5,4,5,4,3,4,3,4,3,4,5,5,5,5,"Happiness,Life Satisfaction,Close Social Relationships",1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,My understanding of mindfulness has not changed but has been enhanced and added upon. I learned that recreational activities and life satisfaction are important factors to your well being. The joy of doing something you love and doing it routinely helps keep your spirits up during tough times.,"My understanding of stress has not changed but it was confirmed to me that it is indeed the state of dread where things pile up and you are unable to cope with it. Sometimes, life hits you with too many things at once and the scale of the ordeal may overwhelm you.",The training has met my expectations in accessibility and stress release. The exercises are very easy to conduct and can be done anywhere anytime which makes it very versatile and flexible. They have also been useful as stress releasers because it allowed me to look at the positive events in my life.,I became more aware of my own body and surroundings such as when connecting with nature when going out for a walk in the park.,Some of the exercises were repetitive ,6,7,7,6,2,5,5,5,5,"It was pretty cool but it glitched out the first day which gave me a bad impression. However, other than that it was a good experiences due to how the chatbot responded accordingly to what I said.",NA,NA,NA,NA,NA,NA,NA,NA,17,3,42,75,42,46,16,6,84,22,26,27,6,19,4,7,5,2,10,62,12,15,13,13,9,12,12,15,29,14,18,Domain,5520,4153,9/8/2023,2
86,A bit. ,"A sense of overall wellness that encompasses the physical, mental and psychological",4,4,3,4,3,3,4,3,3,3,3,2,3,2,3,"Happiness,Mental Health,Family",1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,No,NA,5,"It did somewhat change, since I realized that mindfullness can encompass a lot more. ",My understanding of stress did not change - it is a sense of worry that is different to each person. ,I think it has exceeded my expectations in a sense because it provided a better experience in mindfulness than I had with human therapists. Because in the past human therapists have pushed me to do the body scan even though it made me feel worse no matter how many times I do it - perhaps due to a bit of past trauma. The bot on the other hand suggested something that did not involve the body as an alternative. Trying it without involving the body really eliminated this uncomfortable feeling so I was really greatful for this understanding for once. ,I haven't noticed any change at all to be honest. ,nope. ,7,7,7,7,5,7,7,3,5,I liked that it addressed my responses and had a supportive attitude without putting me down.,NA,NA,NA,NA,NA,NA,NA,NA,43,3,41,57,37,16,38,5,78,23,19,15,5,20,5,5,5,8,3,36,8,9,7,6,6,9,13,5,33,13,12,Domain,4817,4324,9/9/2023,2
87,I would say my wellbeing got better as I was able to handle stress better.,Wellbeing is one's ability to take care of themselves. ,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,"Happiness,Life Satisfaction,Mental Health",1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,"Yes, my perception of mindfulness altered to be: the ability to understand one's own emotions and control them, unlike how I originally viewed it as being able to recognize yourself or someone else's emotions.",My perception of stress changed slightly to a passing emotion rather than a burden you have to carry. ,"It did help me become a more mindful person, allowed to be more patient and separate my sense of self from my emotions","As I said before, I do think that I am able to separate myself from my emotions better. It is still hard to just let go of the emotions but I feel like with time I could control it a lot better.","Maybe some of the questions given by the chat bot should include: ""Are you satisfied with your life"" and ""if so/if not, why?"". I feel like the encouragement given by the chatbot even if it was simply generated made me feel a little better. Not only that, but it may make people feel a little heard if they are able to vent. ",6,6,4,5,3,4,5,3,4,"I did like the encouragement that it gave throughout the times I inputted my feelings. However, I do think more questions should be given for the user to talk about his/her feelings in more depth. Most people may not be inclined to talk about their feelings unless questioned about it. ",NA,NA,NA,NA,NA,NA,NA,NA,41,3,24,71,28,15,19,5,52,24,17,30,4,9,4,7,7,9,8,37,9,6,8,7,7,9,9,8,14,22,14,Choice,7733,4252,9/9/2023,2
88,"Overall I believe I become much more relaxed and focused, however there hasn't been a huge change in anything else. ","Wellbeing means my overall health, whether it be mentally, physically, or spiritually. It describes how comfortable I feel in my current situation and whether I feel healthy and secure. ",4,3,4,3,4,2,3,4,4,4,3,3,2,4,4,"Happiness,Self-esteem,Family",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,No,NA,5,My understanding of mindfulness hasn't changed much I believe. This study showed me that mindfulness means being relaxed and focused which is still what I believe is true. The exercises presented that to me.,"My understanding of stress hasn't changed much either. I used to view stress as good and bad, but I still believe that stress can be very useful when used well, but very damaging if ignored. If you let stress grow, then you will feel terrible. ","The training has met my goals and expectations because it provided me a way to focus and relax before I did anything productive. Before my work began, I would begin the training, and it would feel so much better than before the study began.","The training allowed me to become more spiritual since when I first began, I wasn't very spiritual. I am not very spiritual now but I am a little more in touch with my spirituality thanks to the study.",There isn't much I have to say because the study was overall very well done.,7,5,5,6,5,7,6,5,5,I found chatbot really interesting and super nice. I almost forgot it was a bot and not a person because I almost thanked it when it told me to have a nice day. It was overall really supportive and I liked it a lot.,NA,NA,NA,NA,NA,NA,NA,NA,43,3,31,66,35,31,27,5,66,24,21,21,5,17,5,6,8,4,8,53,10,12,9,12,10,12,11,9,30,23,15,Domain,6261,4255,9/9/2023,2
