,Duration (in seconds),Practice_Rating,Practice_LikeDislike,Apply_Practice,BaselineDate,Condition,RandomID,id,StudyDay,CurrentDate,Positive_pre,Negative_pre,Stress_pre,Positive_post,Negative_post,Stress_post,Disidentification,Nonreactivity,Reappraisal,Satisfied,Autonomy,Relatedness,Competence,Belonging,Meaning,PosAffect,NegAffect,Stressed
341,1719,NA,NA,NA,9/10/2023,Control,5869,4399,1,2023-09-11T00:00:00.000Z,3,2,5,4,2,4,5,5,5,4,5,5,5,5,5,3.5,2,4.5
342,424,NA,NA,NA,9/10/2023,Control,6901,4594,1,2023-09-11T00:00:00.000Z,3,3,6,3,3,5,2,2,2,4,4,4,3,5,4,3,3,5.5
345,577,6,I liked the positive reappraisal attitude because it is a very good technique to apply to my daily routine in order to prevent or reduce the amount of stress on me. ,"I can apply this by using positive affirmations and reminding myself of things i am grateful for in times of negative emotions in order to shift my mentality and mindset off that topic that is negative and causing me stress, 
",9/6/2023,Choice,9030,3736,5,2023-09-11T00:00:00.000Z,5,2,2,5,2,5,3,5,4,5,6,6,7,6,6,5,2,3.5
346,2682,5,"It’s a nice reminder, but it’s easier said than done, so I guess I don’t love that it’s not as simple to practice as it sounds",I can practice it whenever I’m stressed or anxious,9/10/2023,Choice,9779,4249,1,2023-09-11T00:00:00.000Z,3,2,3,3,1,2,6,6,4,4,4,4,4,5,4,3,1.5,2.5
347,365,NA,NA,NA,9/7/2023,Control,5727,3310,4,2023-09-11T00:00:00.000Z,2,2,2,2,2,4,2,3,4,2,2,2,3,5,2,2,2,3
348,386,NA,NA,NA,9/9/2023,Control,4870,4333,2,2023-09-11T00:00:00.000Z,3,3,1,1,2,1,1,1,3,5,7,7,3,7,6,2,2.5,1
350,6268,NA,NA,NA,9/7/2023,Control,9313,4039,4,2023-09-11T00:00:00.000Z,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4
351,510,3,l liked how it made me more aware about my own emotions. ,Before reacting to any stressful situations or thoughts I could use the breathing exercise it taught. ,9/9/2023,Choice,7733,4252,2,2023-09-11T00:00:00.000Z,3,1,3,3,1,3,4,2,3,4,3,3,5,3,3,3,1,3
353,402,NA,NA,NA,9/6/2023,Control,3046,3322,5,2023-09-11T00:00:00.000Z,2,1,2,2,1,2,4,4,5,5,5,4,5,5,4,2,1,2
356,3612,NA,NA,NA,9/8/2023,Control,7775,4159,3,2023-09-11T00:00:00.000Z,5,1,3,NA,1,4,1,7,4,7,7,4,4,5,1,NA,1,3.5
358,582,6,that it helps me to reframe my thoughts and feelings in more positive attributes,"by looking at the task/issue at hand with a different lens
",9/6/2023,Choice,3790,3475,5,2023-09-11T00:00:00.000Z,3,1,3,3,1,3,6,6,6,5,6,7,5,5,6,3,1,3
359,449,4,The exercise helped me focus more on my workout. It allowed to stop worrying about school and assignments and take a breath to focus on the exercise.,Using this practice once a day before my workout can relax my brain and increase the intensity of my workouts since I can focus on what i'm currently doing.,9/9/2023,Value,6261,4255,2,2023-09-11T00:00:00.000Z,3,1,1,3,1,1,4,4,4,5,4,5,4,5,4,3,1,1
360,1497,4,"I was able to feel more relaxed, but I had difficulty thinking about the sensations of each body part. It was a bit overwhelming.","I will do this before I need to do every study session, so that I can feel more relaxed before I start. ",9/8/2023,Value,8559,4114,3,2023-09-11T00:00:00.000Z,3,1,3,2,1,2,2,4,3,3,2,2,3,5,2,2.5,1,2.5
362,451,3,I disliked that the advice was similar to what I got yesterday but I like how it’s a good practice ,I can apply it during study breaks and before I study. Taking the time to be mindful can help improve my meditation skills as well. ,9/6/2023,Value,4577,3574,0,2023-09-11T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,479,6,I liked that doing the exercise made me feel better,"I can apply the mindfulness practice from today by finding the good in every situation, being present, and taking breaks to pace my day.",9/6/2023,Choice,1205,3526,5,2023-09-11T00:00:00.000Z,3,1,4,4,1,2,3,4,6,6,5,4,4,5,6,3.5,1,3
364,722,2,"I think maybe the situation that I chose to work on was too fresh, meaning I wasn’t able to clear my mind well enough to fully submerse myself in the experience.",Try and be more mindful and work on regaining trust.,9/7/2023,Value,5204,3898,4,2023-09-11T00:00:00.000Z,1,2,6,1,2,6,1,1,2,1,4,2,1,1,1,1,2,6
365,18656,NA,NA,NA,9/10/2023,Control,1900,4576,1,2023-09-11T00:00:00.000Z,4,1,4,4,2,4,3,3,7,5,5,5,5,5,5,4,1.5,4
366,471,7,I like the resourcefulness of this exercise because it’s easy to do and doesn’t take up much time. You don’t even need a book because you can write down things on your notes app on your phone. This exercise brings to attention the things you should be grateful for but take for granted because we are accustomed to it,"i can apply this practice by writing down the positive things that occurred to me on that day at the end of the day to appreciate the things that i have been blessed with that day. This way, i can appreciate the good days more when i am feeling down ",9/8/2023,Value,5520,4153,3,2023-09-11T00:00:00.000Z,3,1,3,4,1,2,5,7,7,6,6,7,6,6,5,3.5,1,2.5
367,420,NA,NA,NA,9/6/2023,Control,4557,3775,5,2023-09-11T00:00:00.000Z,3,2,3,3,2,2,4,7,3,3,1,1,3,1,3,3,2,2.5
368,401,NA,NA,NA,9/6/2023,Control,5206,3478,5,2023-09-11T00:00:00.000Z,4,1,3,2,1,3,3,3,3,3,3,3,3,5,6,3,1,3
369,1633,7,I asked a question to OpenAI regarding empathy and it really suggested a good exercise to reflect on myself as well as to put myself in the other’s shoes(the wasp’s shoes in this case). I am fascinated and shocked that an AI can give an advice regarding this matter. It really encouraged me to reflect on myself first to help me find my wrongdoings by empathizing with the wasp which I unintentionally killed due to the fear of getting stung by it.  ,"Before taking any sort of actions, I will try to always put myself in other’s shoes first to see how they might feel or react. Then, after taking an action, I will reflect on myself to see myself from other’s point of view. ",9/6/2023,Value,5929,3409,5,2023-09-11T00:00:00.000Z,1,5,7,3,1,4,5,3,5,3,2,3,1,5,2,2,3,5.5
374,1934,NA,NA,NA,9/7/2023,Control,2969,3358,4,2023-09-11T00:00:00.000Z,4,3,3,4,2,2,5,4,5,4,4,4,5,4,5,4,2.5,2.5
376,11238,5,I liked how it helped me take a moment to think about what makes me feel certain ways and how to change my negative emotions into positive ones,In my daily life I think i can use these techniques when things are feeling rough and i need help being calm.,9/8/2023,Choice,2597,3808,3,2023-09-11T00:00:00.000Z,4,1,2,4,1,2,5,4,3,5,5,4,6,6,6,4,1,2
378,1243,6,I liked that it encouraged me to challenge my thoughts.,I think doing it regularly will help me make myslef perfect in this exercise.,9/6/2023,Value,8671,3751,5,2023-09-11T00:00:00.000Z,4,3,5,5,2,5,6,6,5,6,6,6,6,7,6,4.5,2.5,5
379,560,7,I like that it presented me with a way that I can reflect on my thoughts and attitudes at the end of a day ,I can use the recommendation of reflecting on my attitudes by creating a journal,9/9/2023,Value,5547,3316,2,2023-09-11T00:00:00.000Z,4,1,1,4,1,1,5,5,6,5,4,6,6,6,6,4,1,1
380,5659,4,The focus on breathing helped distract me from any intrusive and unwanted thoughts.,"In-between study breaks, I can meditate to calm myself down before getting back into it.",9/6/2023,Value,8827,3280,5,2023-09-11T00:00:00.000Z,2,1,1,2,1,1,4,4,2,5,5,6,4,6,4,2,1,1
381,952,2,"I enjoy the idea of meditation and taking breaks, but I spend all my time during meditation considering that I'm wasting time that could have been spent studying, which discourages me.","I can take more breaks as the chatbot suggested, and focus on reconsidering how I view meditation and its benefits. Even a few minutes per day may result in positive long-term benefits that I don't see, understand, or value as of now. ",9/10/2023,Value,6535,4465,1,2023-09-11T00:00:00.000Z,3,1,3,3,1,3,4,5,4,2,5,2,3,2,3,3,1,3
383,398,NA,NA,NA,9/10/2023,Control,4322,3502,1,2023-09-11T00:00:00.000Z,4,1,2,4,1,1,5,5,5,6,6,7,7,6,6,4,1,1.5
384,439,NA,NA,NA,9/8/2023,Control,7329,3706,3,2023-09-11T00:00:00.000Z,2,1,2,3,1,1,7,6,4,2,5,2,5,2,4,2.5,1,1.5
385,652,5,I liked how it helped me go through past experiences and think about how I could've reacted better. It helped me use that and apply it to other situations in my life and also helped me calm down in the present.,I can take a step back and think about what to do before just jumping into situations with my emotions. I feel more in control of my emotions.,9/9/2023,Choice,4724,4345,2,2023-09-11T00:00:00.000Z,3,1,3,3,1,2,4,5,4,4,5,6,5,4,4,3,1,2.5
386,2029,NA,NA,NA,9/6/2023,Control,1317,3772,5,2023-09-11T00:00:00.000Z,3,2,3,3,2,3,4,5,5,4,4,4,4,4,5,3,2,3
389,43540,4,I like that it is fairly simple to implement into daily life.,I can try to remember the exercise the next time I need to practice mindfulness ,9/10/2023,Value,7040,4540,0,2023-09-11T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,14305,5,I wish we could talk about more strategies besides the three mentioned,I can make sure to list my tasks so they do not get overwhelming ,9/6/2023,Choice,6054,3301,5,2023-09-11T00:00:00.000Z,3,1,2,3,1,2,5,7,5,5,5,4,5,4,7,3,1,2
392,1397,6,It was a good exercise to remind yourself that your thoughts ands feelings are separate from yourself,Just thinking about the feelings and thoughts coming and going can really help calm yourself,9/7/2023,Choice,1589,3916,4,2023-09-11T00:00:00.000Z,4,1,1,4,1,1,5,7,7,6,4,7,7,6,5,4,1,1
395,17292,4,"I think the recommended exercises are really helpful, although sometimes it brings out the unhappy memories. ",I will use it when im facing depress and trying to go through some hard time such as a mental breakdown.,9/7/2023,Value,2465,3784,0,2023-09-11T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,562,2,"As this is the second time attempting this exercise, I still didn't really enjoy the guidance as much. I felt uncomfortable with the metaphors and struggled to apply them to myself.","Since I'm having difficulties applying it by reflecting about my day overall, I guess I can use older memories where I already have stronger emotions about it, and then find the more positive aspects then.",9/7/2023,Choice,7725,3961,4,2023-09-11T00:00:00.000Z,2,2,5,2,1,6,5,4,4,3,4,5,5,4,4,2,1.5,5.5
397,914,7,I like the sense of serenity I achieved after partaking in this exercise,Think about the more positive aspects of any situation I am in,9/10/2023,Choice,2135,3829,1,2023-09-11T00:00:00.000Z,4,1,4,5,1,3,6,7,7,7,6,7,7,7,7,4.5,1,3.5
398,9718,5,i liked that it was similar to what a lot of religions practiced in that it’s basically “sending prayers your way”,"based on my comparison of it being similar to religious practices and as someone who considers themself to be fairly religious, i think i already apply it often enough",9/6/2023,Value,3758,3343,5,2023-09-11T00:00:00.000Z,4,1,2,3,1,2,3,6,3,5,4,6,3,5,2,3.5,1,2
400,408,NA,NA,NA,9/6/2023,Control,7701,3601,5,2023-09-11T00:00:00.000Z,5,4,3,NA,1,4,5,3,2,5,3,7,3,4,7,NA,2.5,3.5
401,408,NA,NA,NA,9/10/2023,Control,2175,4273,1,2023-09-11T00:00:00.000Z,2,4,NA,2,3,5,5,3,2,2,5,1,1,1,3,2,3.5,NA
402,387,NA,NA,NA,9/10/2023,Control,1885,4501,1,2023-09-11T00:00:00.000Z,1,1,2,3,1,2,5,5,4,3,2,6,5,3,2,2,1,2
403,451,NA,NA,NA,9/6/2023,Control,1547,3403,5,2023-09-11T00:00:00.000Z,4,1,2,4,1,1,5,7,6,6,6,2,6,7,6,4,1,1.5
405,5026,5,I like that it this task is easy to do and can be incorporated at anytime to try and increase your happiness.,"If I am feeling down or dull, I can use ""savoring"" to brighten my mood and continue focusing on my day.",9/6/2023,Value,6123,3535,5,2023-09-11T00:00:00.000Z,1,1,3,2,1,2,4,7,1,2,5,4,1,4,4,1.5,1,2.5
406,438,NA,NA,NA,9/8/2023,Control,2554,4168,3,2023-09-11T00:00:00.000Z,4,2,4,4,1,1,1,3,6,6,6,6,6,7,7,4,1.5,2.5
407,638,NA,NA,NA,9/8/2023,Control,6096,4192,3,2023-09-11T00:00:00.000Z,2,2,6,2,2,NA,2,3,1,4,6,3,6,4,6,2,2,NA
408,6722,NA,NA,NA,9/6/2023,Control,3619,3433,5,2023-09-11T00:00:00.000Z,2,3,6,3,3,5,4,5,4,3,4,5,4,4,4,2.5,3,5.5
409,1393,5,I would like to listen to the instructions to follow them when I’m closing my eyes ,By reflecting on what happened throughout my day at night and try to find what positive things I’ve missed,9/8/2023,Choice,2716,3595,3,2023-09-11T00:00:00.000Z,2,2,5,3,1,3,5,6,6,5,5,5,4,4,5,2.5,1.5,4
410,558,7,I feel like it is something useful when dealing with stressful situations,I feel like this exercise is useful in taking a step back from stressful thoughts and moments. It helps to reframe your way of thinking,9/7/2023,Choice,4288,3553,4,2023-09-11T00:00:00.000Z,5,2,2,5,1,1,7,6,6,7,7,7,7,7,7,5,1.5,1.5
411,437,7,"I loved, again it was awesome and it helped me understand that emotions and what I am are two different things.",While feeling strong emotions I can step back and separate the feelings from who I am. ,9/9/2023,Choice,5434,3847,2,2023-09-11T00:00:00.000Z,4,1,3,4,1,2,6,7,7,7,7,7,7,7,7,4,1,2.5
413,2879,4,I disliked that the exrercise does not explain how to think of the positive aspects.,I can apply the recommended mindfulness practice in my daily life by remembering that a stresful situation is not wholly a bad one and that something positive will come out of any situation.,9/8/2023,Choice,4429,3997,3,2023-09-11T00:00:00.000Z,2,2,6,2,3,6,4,4,5,3,5,4,4,4,5,2,2.5,6
414,611,4,i liked that the exercise helped me to prioritize my health above school. ,"Since school gets really stressful, I think it would be important for me to do their exercise in the morning or after long days.",9/7/2023,Value,8026,4018,4,2023-09-11T00:00:00.000Z,2,2,7,3,1,5,4,3,2,4,3,4,2,2,5,2.5,1.5,6
417,540,6,I enjoyed the fact that the chat box easily walked me through a situation in my life and made me look at it through a different perspective.,I can reflect on situations where I was angry or upset when I’m feeling calmer and unpack the entire situation.,9/11/2023,Choice,3688,3304,1,2023-09-12T00:00:00.000Z,3,1,5,4,1,5,4,5,6,5,5,5,6,7,5,3.5,1,5
418,800,NA,NA,NA,9/11/2023,Control,1453,5533,1,2023-09-12T00:00:00.000Z,3,3,5,3,2,3,4,5,5,4,4,4,5,5,5,3,2.5,4
419,424,NA,NA,NA,9/7/2023,Control,1880,3907,5,2023-09-12T00:00:00.000Z,4,1,3,4,1,3,4,6,6,6,6,6,6,7,6,4,1,3
422,983,5,I liked how well the chatbot explains the chosen exercise and how the chatbot explains/praises the user for how well they deal with stress,I can apply today's exercise whenever I am in an argument or in a stressful situation: I can assess my thoughts and calm down in order to make rational decisions,9/10/2023,Choice,4026,4417,0,2023-09-12T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,459,6,I like how I could perform the exercise anywhere. I also liked how the exercise actually seemed to work for me.,I can apply this practice to my everyday life by doing a quick mediation session anytime I feel overly stressed out about my studying or school work. ,9/8/2023,Value,5474,3889,4,2023-09-12T00:00:00.000Z,3,1,4,3,1,3,4,5,5,4,5,7,5,6,6,3,1,3.5
425,446,NA,NA,NA,9/11/2023,Control,8527,3901,1,2023-09-12T00:00:00.000Z,3,2,4,3,2,3,5,4,3,4,5,4,6,7,4,3,2,3.5
426,405,NA,NA,NA,9/10/2023,Control,8908,4456,2,2023-09-12T00:00:00.000Z,3,3,4,3,3,2,5,6,4,4,3,5,4,4,5,3,3,3
427,358,NA,NA,NA,9/7/2023,Control,6230,3871,5,2023-09-12T00:00:00.000Z,2,2,5,2,2,5,3,3,3,3,3,4,5,5,5,2,2,5
428,456,4,I liked the exercise because it helped me refocus and get back to work.,This practice could be employed anytime I am working on something big/stressful.,9/7/2023,Value,9682,3943,5,2023-09-12T00:00:00.000Z,3,1,3,3,1,3,4,4,4,4,4,4,5,4,5,3,1,3
429,467,5,the recommended excersise is smth i acc like doing except i focus on everything external to me than my own self,i already do :) it’s a nice way to get away from everything and just chill while ignoring your brain,9/6/2023,Value,3758,3343,6,2023-09-12T00:00:00.000Z,2,1,2,2,1,2,5,5,2,3,5,3,3,3,3,2,1,2
430,374,NA,NA,NA,9/11/2023,Control,9746,4738,1,2023-09-12T00:00:00.000Z,3,2,3,4,2,2,3,1,4,3,3,2,3,5,3,3.5,2,2.5
431,380,NA,NA,NA,9/6/2023,Control,4609,3583,6,2023-09-12T00:00:00.000Z,4,2,3,4,2,3,5,5,4,5,6,7,5,7,4,4,2,3
432,541,5,I liked it because it is something I already do without realizing that it is a mindfulness exercise.,I can continue to use it to identify and name negative thoughts and feelings as they arise.,9/8/2023,Value,3405,4177,4,2023-09-12T00:00:00.000Z,2,2,2,2,2,2,3,5,4,4,4,5,6,4,5,2,2,2
433,509,7,"I liked how I could revisit a past experience, and see what I could`ve done instead of reacting right away (I could`ve taken deep breaths, and should've thought about my reaction before I did it)","I will be visualizing the consequences of my reactions before I take any actions, and will try to think as level-headedly as possible about a situation.",9/6/2023,Choice,1205,3526,6,2023-09-12T00:00:00.000Z,3,1,1,4,1,1,4,4,4,7,3,7,7,6,7,3.5,1,1
434,708,3,"I dont think you can always diatance yourself from your emotions because anger doesn't always feel like a cloud, grief doesn't always feel like a leaf or a story ","When I am feeling a strong emotion I can remember that it will pass i am just *feeling* sad, I *am* not sad",9/6/2023,Choice,6298,3355,6,2023-09-12T00:00:00.000Z,3,1,2,3,1,2,4,4,4,4,5,3,5,3,5,3,1,2
435,485,4,I enjoyed that it feels like easy advice that can be worked on and achieved to be used in daily life,"By making sure to take time to appreciate the good and positive things that happen in my life, instead of always focusing on the negative.",9/10/2023,Choice,2349,4441,2,2023-09-12T00:00:00.000Z,2,1,2,3,1,1,3,2,4,5,3,5,3,6,5,2.5,1,1.5
436,349,NA,NA,NA,9/7/2023,Control,1705,3394,5,2023-09-12T00:00:00.000Z,4,2,2,4,2,2,6,6,6,6,6,6,6,6,6,4,2,2
437,432,5,"I liked how I was better equipped to manage my body-image, improving the confidence I have in myself and thus my self-esteem and how I interact with other people","Finding a time in the day to de-stress, (as the bot said, just 5-10 minutes) and practice focusing on each insecurity on my body",9/6/2023,Value,1904,3796,6,2023-09-12T00:00:00.000Z,3,2,4,4,1,2,7,5,5,6,6,4,3,7,3,3.5,1.5,3
438,737,6,I liked that it made me feel calm and helped me concentrate better.,I will try to do it during breaks or when I feel overwhelmed.,9/6/2023,Value,8671,3751,6,2023-09-12T00:00:00.000Z,4,1,5,4,2,5,6,6,6,6,6,6,6,6,6,4,1.5,5
439,439,5,I liked that it pushed me to think of the positive. ,Think of the good when I feel down. ,9/9/2023,Value,4817,4324,0,2023-09-12T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,646,4,"I liked that it allowed me to take a break from my responsibilities and constant stress factors that tend to overwhelm my mind. The only thing I disliked was that after the exercise, the thoughts began to flow in again and affect me rather negatively. Overall however, this is a good exercise to separate myself from worrying thoughts and anxiety.   ","Whenever I feel overwhelmed, as if my emotions and thoughts are influencing my behaviour, I can apply the recommended mindfulness to take of the extra weight and burden of thoughts/feelings that bury my true self identity. ",9/11/2023,Choice,3743,3379,0,2023-09-12T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,1684,NA,NA,NA,9/6/2023,Control,3619,3433,6,2023-09-12T00:00:00.000Z,3,4,5,3,3,5,3,4,5,3,4,5,5,5,4,3,3.5,5
443,396,NA,NA,NA,9/9/2023,Control,9010,3565,3,2023-09-12T00:00:00.000Z,4,2,3,4,2,3,4,4,3,4,3,4,4,4,4,4,2,3
444,360,NA,NA,NA,9/8/2023,Control,5183,3493,4,2023-09-12T00:00:00.000Z,3,1,2,3,1,1,4,5,4,5,5,5,5,4,4,3,1,1.5
445,499,NA,NA,NA,9/6/2023,Control,1317,3772,6,2023-09-12T00:00:00.000Z,4,2,2,4,2,2,5,5,4,4,4,4,4,3,5,4,2,2
447,446,4,"I liked how the recommended exercise raised warm feelings towards myself and closed ones, but it did not help with increasing confidence towards expressing love towards family.",Whenever I miss my family I can practice this method to help think about the positives and wish the best for them instead of falling into negative spirals. ,9/8/2023,Value,8785,3649,4,2023-09-12T00:00:00.000Z,4,1,2,4,1,2,5,5,4,5,5,4,5,4,5,4,1,2
449,4538,NA,NA,NA,9/6/2023,Control,5240,3670,6,2023-09-12T00:00:00.000Z,3,2,5,3,3,5,4,4,3,4,5,6,5,5,5,3,2.5,5
453,848,6,"In this exercise I liked that it teaches control and the ability to not react to negative events in my life.  This exercise serves as a great way to remove my stress because I am able to not react to the things that would upset me most.  Instead, I can go a day without overthinking everything and then getting stressed out.","I can apply the mindfulness practice in my daily life by practicing it every time that I have negative thoughts.  This practice would help me to stay clear of over reacting as I tend to do and saves me the trouble.  Therefore, I can implement this into every negative thought that I had so I can effectively apply it to my daily life.",9/7/2023,Choice,8843,4009,5,2023-09-12T00:00:00.000Z,4,2,1,5,1,2,6,7,6,6,7,6,5,7,7,4.5,1.5,1.5
455,1151,5,I like that the recommended exercise helps to search for positives in past negative experiences.,I can apply the recommended mindfulness practice in my daily life by changing my perspective on my past negative experiences and trying to think of any positives or lessons that came out of it.,9/8/2023,Choice,1388,4138,4,2023-09-12T00:00:00.000Z,3,2,3,3,2,2,4,4,6,5,4,5,4,4,5,3,2,2.5
456,890,6,"I liked that it gives me more control, especially when I ruminating in a negative way. I do wish there was more than mediation for each type of meditation","I would apply it when going through a tough time, especially if I feel that I am getting too negative with my appraisals. It would also be good when planning and setting goals for the fuurs",9/6/2023,Choice,6646,3682,6,2023-09-12T00:00:00.000Z,4,1,3,5,2,1,6,5,6,6,6,7,5,7,7,4.5,1.5,2
457,467,NA,NA,NA,9/11/2023,Control,9773,3985,1,2023-09-12T00:00:00.000Z,3,3,5,3,2,4,5,6,5,5,6,6,5,7,5,3,2.5,4.5
458,393,NA,NA,NA,9/10/2023,Control,6901,4594,2,2023-09-12T00:00:00.000Z,4,2,5,4,2,5,4,3,2,4,4,5,3,5,4,4,2,5
459,1285,3,I like the alternative thinking methods but do not think I could remember to do them.,"By applying them when I am feeling ""high"" emotions like stress and anger.
",9/11/2023,Choice,9330,4642,0,2023-09-12T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,611,4,I liked focusing on how the actions feel and make me feel instead of just imagining myself doing the actions ,"When I’m feeling unmotivated, I could practice this technique ",9/7/2023,Value,5204,3898,5,2023-09-12T00:00:00.000Z,2,1,3,2,1,3,4,4,3,3,3,3,3,1,2,2,1,3
462,410,NA,NA,NA,9/6/2023,Control,9299,3604,6,2023-09-12T00:00:00.000Z,3,2,2,4,1,1,4,4,6,3,4,5,5,5,6,3.5,1.5,1.5
463,459,6,I enjoyed the conversation. It allowed me to reflect on my feelings and it provided a way to put my feelings into words that i couldn't have thought of on my own.,I can practice the breathing exercises if I'm stressed. I can also try to label my feelings as something other than my identity. It will pull me away from those bad thoughts and let me focus on what I really need to focus on.,9/11/2023,Value,6501,3367,1,2023-09-12T00:00:00.000Z,4,2,5,4,2,2,5,4,4,4,4,5,5,6,7,4,2,3.5
464,394,NA,NA,NA,9/7/2023,Control,4412,3988,5,2023-09-12T00:00:00.000Z,4,2,2,NA,1,2,4,4,3,6,6,6,6,6,6,NA,1.5,2
465,546,3,I don’t dislike anything in particular but I didn’t notice any effect either,Journaling everyday? I guess I am quite forgetful so I might discontinue after a while but I can try to do that and focus on the positive things in life.,9/11/2023,Value,6882,4597,1,2023-09-12T00:00:00.000Z,2,3,7,2,3,6,4,6,2,5,3,5,2,4,1,2,3,6.5
466,556,5,"I use the exercise method the chatbot suggested in my own spare time prior to this survey, so I knew the recommended exercise would be positive and helpful.","I can use the chatbot's recommendations more often, practicing the previous day's ideas of meditation and self-reflection as well to better my mental health and find more meaning and purpose in my life.",9/10/2023,Value,6535,4465,2,2023-09-12T00:00:00.000Z,4,2,2,4,1,2,5,5,5,5,5,6,5,6,6,4,1.5,2
467,419,NA,NA,NA,9/6/2023,Control,9832,3406,6,2023-09-12T00:00:00.000Z,4,2,3,4,2,2,6,5,5,6,6,3,6,6,6,4,2,2.5
468,380,NA,NA,NA,9/7/2023,Control,9313,4039,5,2023-09-12T00:00:00.000Z,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4
469,389,NA,NA,NA,9/7/2023,Control,8195,4024,5,2023-09-12T00:00:00.000Z,3,1,3,3,1,3,5,4,4,4,5,5,3,4,4,3,1,3
471,495,NA,NA,NA,9/6/2023,Control,1774,3487,6,2023-09-12T00:00:00.000Z,3,4,6,3,3,4,3,5,4,3,4,5,5,4,5,3,3.5,5
472,488,NA,NA,NA,9/11/2023,Control,2752,4483,1,2023-09-12T00:00:00.000Z,4,1,3,4,1,2,4,3,4,5,5,4,4,5,3,4,1,2.5
474,1257,NA,NA,NA,9/8/2023,Control,8582,4030,4,2023-09-12T00:00:00.000Z,4,2,4,4,2,4,4,6,5,5,4,5,5,5,3,4,2,4
475,1587,5,"I still enjoy the metaphors used in this exercise as I was able to immerse myself easier, but it was less effective for me today. ",i feel like during downtime I can use the exercises to apply to my current mindset in the moment and to help process parts of the day,9/7/2023,Choice,7725,3961,5,2023-09-12T00:00:00.000Z,2,2,7,2,2,6,5,6,3,3,5,3,5,3,5,2,2,6.5
477,8953,4,I liked the exercise. It allowed me to pause and reflect and think about the situation without my feelings interfering.,I can do this every night before bed o when I feel my emotions taking over me. ,9/10/2023,Choice,4708,3730,2,2023-09-12T00:00:00.000Z,2,2,5,3,2,5,4,5,2,3,3,4,3,3,6,2.5,2,5
478,363,NA,NA,NA,9/7/2023,Control,5727,3310,5,2023-09-12T00:00:00.000Z,2,2,2,2,2,2,3,3,4,2,2,2,4,5,3,2,2,2
480,1374,3,"I liked that it was easy to understand and do, but I also found that the exercises are not very good for if you did the survey at the beginning of the day because you haven't really experienced the day yet.",How I can apply the recommended exercise would be to keep a little journal with me that I can write my thoughts and motivations down at the end or beginning of each day to motivate myself so that I don't feel goal less. ,9/8/2023,Value,8559,4114,4,2023-09-12T00:00:00.000Z,3,1,4,3,1,2,4,3,2,3,3,3,1,5,2,3,1,3
481,728,3,"I liked how quickly I can perform the gratitude journaling as I am only required to list three things that I am grateful for in my life. This will not take up too much time in my day, but this also means that it doesn't last long enough to provide long-lasting change in my emotions.","Whenever I wake up and want to mentally prepare myself for the struggles of the day, I can do gratitude journaling to remind myself of the positive aspects of my life.",9/6/2023,Value,8827,3280,6,2023-09-12T00:00:00.000Z,2,1,2,2,1,1,5,5,5,4,4,6,5,5,5,2,1,1.5
485,416,NA,NA,NA,9/6/2023,Control,3046,3322,6,2023-09-12T00:00:00.000Z,3,3,5,3,2,4,3,3,3,3,4,6,4,4,3,3,2.5,4.5
487,408,NA,NA,NA,9/9/2023,Control,1784,4306,3,2023-09-12T00:00:00.000Z,2,1,3,2,1,2,4,5,2,1,5,2,3,5,2,2,1,2.5
488,7935,7,nothing,When I am in a problem or feeling intense emotions. ,9/9/2023,Choice,5434,3847,0,2023-09-12T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,446,5,"I liked that it allowed me to explore my thoughts from a distinct, more imaginative perspective in which I could dissociate from my negative thoughts.",I can try to think of the fleeting nature of my thoughts in order to bring a sense of calmness within myself. I enjoy the imaginative air the exercise brings me as a whole. ,9/6/2023,Choice,8298,3427,6,2023-09-12T00:00:00.000Z,4,1,3,4,1,1,5,4,5,6,5,7,5,5,5,4,1,2
491,2109,4,"I liked that the exercise allowed me to focus on patience in my everyday life. It allowed me to learn that good things come from waiting, and i should be practicing patience more. ",I can apply this practice to everyday life by focusing on the virtues I demonstrate daily and meditate on them. ,9/7/2023,Value,8026,4018,5,2023-09-12T00:00:00.000Z,1,3,6,2,4,6,6,5,2,3,4,3,4,2,5,1.5,3.5,6
