,age,gender,gender_other,sexual_orien,sexual_other,Marital_status,Ethnic_identity,Ethnic_identity_other,Born_country,Eng_primary,ReligiousAffliation,ReligiousAffliation_other,Highest_education,Highest_education_other,Household_income,WBDefinition,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,PracticedMindfulness,MindfulnessOpen,StressOpen,StudyExpectation,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,PWB,RandomID,id,BaselineDate,Condition,Time
57,18,Female,NA,Straight,NA,Single/never been married,East Asian,NA,Canada ,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$150,000 to $199,999","Wellbeing to me means that you are in a good mental and physical state. You are able to take care of yourself, and live life the way that you want it to be. Most importantly, you are satisfied and happy with yourself and your environment.","Family,Mental Health,Happiness",3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,Yes,"Mindfulness is the act of practicing and training your mind to adapt to strressful situations. It involves focusing on your surroundings in order to take your mind off of situations that are occupying or overwhelming your mind, and to be present in what you are doing.","To me, stress is a negative emotion associated with things in life that I fear are too difficult or overwhelming to handle. It is associated with the unknown, and most importantly, failure. ","I hope that through this training, I am able to control my emotions when I'm faced with a stressful situation and strategies I can take to avoid having overwhelming emotions.",33,3,27,67,24,35,17,4,51,23,18,26,3,12,6,7,4,8,7,45,11,7,9,9,9,12,9,11,16,30,10,38,2969,3358,9/7/2023,Control,1
58,22,Male,NA,Straight,NA,Single/never been married,East Asian,NA,south korea,No,Christianity,NA,High school,NA,"$200,000 or more","The term ""Wellbeing"" means being healthy both mentally and physically.","Safety,Family,Happiness",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Yes,physical and social environment,No,"The term ""mindfulness"" is being aware of sensation and emotions in the moment.","The term ""stress"" means mentally irritated and distracted due to an unexpected or difficult situation.","With this training, I think that I can hone my ability to pay attention and control emotions. I am not concerned about this training.",36,3,36,70,34,22,21,5,70,20,26,24,4,10,4,6,4,4,7,50,8,11,9,10,12,13,8,12,18,26,15,37,1705,3394,9/7/2023,Control,1
60,19,Female,NA,Other,Pansexual,Single/never been married,Caucasian/White,NA,USA,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$200,000 or more","Wellbeing is the health of you body, mind, and soul as a collective ","Happiness,Meaning  and Purpose of Life,Life Satisfaction",1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Mindfullness means taking the time to be one with yourself and work on maintaining that relationship between your mind, body, and soul",Stress is external stimuli that has negative effects on ones wellbeing ,I expect to feel more calm and gain new tools to handle stress,59,3,13,43,12,28,32,3,25,16,12,15,2,9,6,8,6,10,5,32,7,6,9,5,5,6,8,9,10,25,22,23,5204,3898,9/7/2023,Domain,1
61,27,Female,NA,Straight,NA,Single/never been married,African Diaspora,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,College,NA,"$75,000 to $99,999",Being mindful of your choices and actions. Taking care of your mind and body. Prioritizing your overall health. Spiritual connection. Feeling at peace and still. ,"Mental Health,Close Social Relationships,Meaning  and Purpose of Life",NA,NA,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Peace of mind. Capable of handling your emotions. Being present. Staying calm under pressure,Things/events beyond your control. Feeling anxious. Worrisome about future.,I would like to learn how to manage my stress better by using different techniques and tools. Learn ways to feel grounded and safe. ,35,3,36,58,36,35,22,5,72,19,26,13,4,16,3,7,7,6,10,59,13,11,11,12,12,13,12,14,20,34,17,44,1880,3907,9/7/2023,Control,1
63,20,Female,NA,Asexual,NA,Single/never been married,Southeast Asian,NA,Philippines,Yes,Christianity,NA,High school,NA,"$20,000 to $34,999","being happy and healthy, physically, mentally, and emotionally","Life Satisfaction,Happiness,Close Social Relationships",2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,being aware of your surroundings and your thoughts and feelings at the same time,it means that something that can induce change is happening to you or around you ,Hopefully I can manage my stress better after this training,32,3,40,101,40,49,24,6,80,35,31,35,4,18,7,8,7,7,3,47,15,10,5,3,14,15,15,15,24,35,25,53,1589,3916,9/7/2023,Choice,1
65,18,Male,NA,Straight,NA,Single/never been married,South Asian,NA,India,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999",I would define wellbeing as the state of normalcy in day to day life.,"Education,Employment,Close Social Relationships",NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,Yes,Sleep,No,Mindfulness is when you give up your seat for a senior citizen,Stress is the feeling I feel every time I wake up late for school,"I expect to have learnt just a little more about myself and hope that I can feel like I did the correct thing when choosing to be a part of this experiment. I, currently, have no concerns about doing this training.",41,3,28,88,29,32,16,6,57,33,30,25,5,17,5,6,10,5,7,51,15,10,12,6,8,11,12,12,21,34,18,48,9682,3943,9/7/2023,Domain,1
67,17,Not listed above,fluid,Other,pansexual,Single/never been married,East Asian,NA,United States of America,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$35,000 to $49,999","an overall idea for ones condition, both physically and mentally-- it may bring a sense of readiness and peace","Mental Health,Self-esteem,Happiness",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,No,NA,Yes,being self aware of ones wellness and mentality-- it can include being aware of ones boundaries and preferences in how to calm down from busy situations,"Relating to worry, and can be correlated. Can be ongoing, and can contribute to one's worry negatively. Someone can be stressed from certain situations or lifestyles in their life.",hoping to learn how to apply the techniques on a regular basis,50,3,26,63,30,41,40,4,56,24,19,20,3,13,6,7,4,8,7,35,10,6,6,6,7,11,13,10,13,25,23,31,7725,3961,9/7/2023,Choice,1
70,19,Male,NA,Straight,NA,Single/never been married,Other,Chinese,China,No,"Non-religious, atheist, or agnostic",NA,High school,NA,Prefer not to answer,"My wellbeing is rooted in independence, honoring my parents, and realizing my father's unfulfilled dreams. It's a blend of self-reliance and carrying forward a cherished legacy.","Life Satisfaction,Physical Health,Mental Health",NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"To me, mindfulness means being fully present in every moment, ensuring my actions align with my values and intentions. It's the anchor that keeps my focus unwavering amidst distractions.","stress is a challenge to be managed and overcome, a reminder to realign my actions with my core principles and strengthen my resilience.","No, I feel it sound like a challenge to me. My expectation is to refine my old way of mindfulness ",26,2,40,98,34,32,11,6,74,30,34,34,4,11,7,6,9,3,7,58,11,15,10,7,15,15,14,10,31,34,21,45,2465,3784,9/7/2023,Domain,1
71,18,Male,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,Christianity,NA,High school,NA,"$100,000 to $149,999",The degree of mental and physical fortitude and satisfaction one possesses.,"Meaning  and Purpose of Life,Family,Spirituality",NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2,NA,No,NA,Yes,"To be calmly and contently aware of ones surroundings and situation, this includes being aware of oneself and others. A natural flow of things that is examined and considered at one's own pace.  ","A disruption of one's sense of calm and control, in my case, often in the form of tests or educational assessments. This acts as a type of threat to ones wellbeing and can be dealt with in a healthy and direct way or put off and permitted to fester and grow. ",I would expect this training to involve various breathing and bodily practices all relating to focus and awareness of my own existence in space. I would hope that this training would instill within me a greater habit of mindfulness. My only concern is that I may underappreciate this due to workload from other courses that is drawing my attention away. ,27,3,31,63,32,36,12,6,63,17,27,19,6,16,3,9,8,3,9,54,9,12,10,12,11,15,13,11,26,28,17,49,4412,3988,9/7/2023,Control,1
72,19,Male,NA,Straight,NA,Single/never been married,Native Canadian,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999",Wellbeing to me means that I am exceeding in all aspects of my life.  I would define wellbeing as the overall positive aspects that one person has at some point in their life. ,"Close Social Relationships,Financial and Material Stability,Family",NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,NA,No,NA,No,The term mindfulness means that I am aware of my surroundings and are able to take control of those surroundings.  Mindfulness also means to me that I am constantly open minded.,The term stress means that I am unable to perform some task due to an external cause.  In which this external cause limits my ability strongly and my mind goes all over the place.,The benefits I expect to get out of this mindfulness training is a better outlook on life by decreased stress levels and increased meaningfulness in life.,57,3,22,83,11,12,39,4,33,27,27,29,2,5,6,6,3,7,5,39,7,5,10,8,9,10,9,13,5,23,9,31,8843,4009,9/7/2023,Choice,1
73,19,Female,NA,Other,Pansexual,Single/never been married,Southeast Asian,NA,Canada,Yes,Prefer not to answer,NA,High school,NA,"$100,000 to $149,999","I believe that wellbeing describes a state in which you are doing well mentally, physically, emotionally and spiritually.","Happiness,Close Social Relationships,Spirituality",1,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Mindfulness is being aware of yourself, your place in the world and surroundings and those around you. It is something that requires you to take a step from yourself and to assess your situation.",Stress is something that creates this pressure within you that may affect how you behave and think. It is something that arises in scenarios that causes discomfort or requires high performance. ,I know that mindfulness overall will help to improve your outlook on the world and yourself. I expect for it to improve the way I view myself and help me gather some of my thoughts and emotions. I am aware of the research surrounding mindfulness meditation and I hope to build some good habits out of this.,32,3,21,49,22,23,34,3,43,13,12,24,2,10,5,8,8,5,5,38,8,8,8,8,6,5,11,5,20,16,8,36,5727,3310,9/7/2023,Control,1
75,18,Female,NA,Straight,NA,Single/never been married,Hispanic,NA,Canada,Yes,Christianity,NA,High school,NA,"$35,000 to $49,999","being healthy and happy physically, mentally and emotionally ","Mental Health,Happiness,Physical Health",2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,The term mindfulness means being conscious and self aware of your emotions and feelings.,The term stress means the effects of pressure from different aspects of everyday life.,learning to be more aware and better suited to handle stress and emotions.,54,3,26,57,34,38,39,4,60,12,24,21,2,16,6,9,6,7,4,50,8,9,11,9,13,11,15,10,17,25,8,34,8026,4018,9/7/2023,Domain,1
76,19,Male,NA,Straight,NA,Single/never been married,South Asian,NA,Canada ,Yes,Sikhism,NA,High school,NA,"$100,000 to $149,999",Wellbeing to me means the overall peace I am experiencing in my life whether it be high or low . ,"Mental Health,Happiness,Physical Health",2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Mindfulness means to give your full attention to each and every moment throughout the day without other thoughts.,Stress means danger and a feeling of unease to me ,I am expecting lots of breathing techniques to help with mindfulness. I am expecting to get benefits out of this training such as a more cleared state of mind and overall lower stress ,56,3,35,73,34,19,21,4,69,26,21,26,1,12,3,8,7,10,10,50,12,11,11,8,8,15,13,15,21,32,14,50,8195,4024,9/7/2023,Control,1
77,40,Female,NA,Straight,NA,Married or domestic partnership,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$75,000 to $99,999","Good physical health, the capacity to constructively cope with the mental ups and downs with life.","Safety,Financial and Material Stability,Family",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,1,No,NA,Yes,"An awareness of emotion, physical state without being swept away by it","Over agitated nervous system, thinking biases, hopelessness",No concerns. Always good to have extra tools in the coping toolkit.,51,3,15,53,11,22,37,3,26,20,16,17,3,4,2,5,10,10,10,48,10,9,9,11,9,15,14,13,10,32,6,30,8227,4033,9/7/2023,Choice,1
78,18,Not listed above,Non-binary,Other,Pansexual,Single/never been married,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$200,000 or more","Wellbeing means to feel comfortable within your own skin, being able to be happy with yourself and your accomplishments.","Mental Health,Happiness,Close Social Relationships",2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Mindfulness means being in touch with your emotions and feelings and to understand them without trying to solve them.,Feeling overwhelmed with the amount of tasks that need to be done to the point where you start to breakdown and lose your sense of control over your emotions. To me stress is a large build-up of anxiety that starts to impact your daily life.,I'm hoping to learn more mindfulness practices that will have a better effect on my mental health and will help me control my stress and anxiety levels better.,53,3,42,86,25,33,33,3,67,35,32,19,4,9,6,3,8,10,7,55,13,5,12,13,12,12,14,9,19,29,10,50,5085,3955,9/7/2023,Choice,1
79,19,Male,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,Prefer not to answer,"Wellbeing is the sense of self, and how one thinks of themselves day to day. ","Physical Health,Life Satisfaction,Close Social Relationships",NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,"The term mindfulness means being able to take sense of the things around you, such as your environment and the outside world. ","The term stress means being pressured because of some thing that is going on or being overwelled, worried about it.","Over the following week after having a chance to learn different mindfulness techniques, I do not expect to gain much from this training. ",39,3,28,88,28,28,36,4,56,23,35,30,2,11,7,6,6,4,9,45,9,4,10,9,13,9,9,9,22,27,10,36,9313,4039,9/7/2023,Control,1
82,20,Female,NA,Bisexual,NA,Single/never been married,Caucasian/White,NA,Canada ,Yes,Other religious affiliation,Spiritual,High school,NA,"$50,000 to $74,999",Wellbeing means good physical and mental health; it means thinking positively/with optimism and being able to change your perspective in a beneficial way  ,"Close Social Relationships,Spirituality,Life Satisfaction",NA,3,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,No,NA,Yes,Mindfulness means awareness of your thoughts and emotions and learning how to change those patterns,Feelings overwhelmed and anxious for an extended time about a particular subject,"I have practiced mindfulness in the past, so I am not sure if I will learn new techniques, however I think it will serve as a reminder to stay grounded and be more aware of myself/my emotions and goals ",28,3,29,70,33,30,15,5,62,25,21,24,5,12,10,8,10,6,6,44,10,12,6,7,9,13,15,8,22,28,13,40,5183,3493,9/8/2023,Control,1
85,19,Male,NA,Straight,NA,Single/never been married,Southeast Asian,NA,Canada,Yes,Christianity,NA,High school,NA,"$200,000 or more",how i feel during my day to day life and how my feelings affect my decision making and actions,"Financial and Material Stability,Close Social Relationships,Happiness",3,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,the term mindfulness to me means to reflect on what happened in the past and how its affecting me now and in the future,the term stress to me means how difficult it is to handle my day to day activities and how it affects my life as a whole.,i believe i will be able to understand how to be mindful about what goes on in my life and how to be stress-free even when things pile up without being overworked,40,3,30,64,36,42,40,5,66,22,21,21,4,14,7,6,5,6,7,50,10,9,11,9,11,12,11,13,17,20,23,51,2597,3808,9/8/2023,Choice,1
86,18,Male,NA,Straight,NA,Single/never been married,South Asian,NA,Yemen,Yes,Christianity,NA,High school,NA,"$75,000 to $99,999",Wellbeing means a healthy mind and body to me. A life that has its ups and downs that highlight the blessings you are given.,"Happiness,Self-esteem,Employment",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,No,NA,Yes,Mindfulness means to be aware of yourself and others and to react to everything in a calm and accepting way. No matter the event or mistake always consider malicious actions as accidents or results of that person's own stress and problems instead of lashing out in anger. To be mindful means to be open minded.,Stress means to be unable to cope with the hardships life has stacked upon you until you start panicking. If you do not have a clear goal or a warranty that everything will be okay stress will build up and consume you. Stress is the result of a cluttered and occupied mind.,"I wish to have a clearer mind and outlook to life after practicing these new techniques. I expect to have a better sense of understanding of who I am in this new environment at UTM and quickly adapt to my new lifestyle. Furthermore, I hope to gain the open mindedness to expand my ideas and put myself out there to create a better social setting in University",22,3,41,66,41,47,30,6,82,17,26,23,5,16,5,8,5,2,10,60,10,14,11,14,11,12,12,10,26,10,12,48,5520,4153,9/8/2023,Domain,1
89,20,Male,NA,Straight,NA,Single/never been married,East Asian,NA,China,No,"Non-religious, atheist, or agnostic",NA,Prefer not to answer,NA,Prefer not to answer,Satisfied with your life and someone you care also love you,"Happiness,Family,Life Satisfaction",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Yes,im not sure is love one of the domains cause love is a large category contains lots ,No,forget everything in my life including myself in one moment and then thinking overall the deep in my heart and the past,pushing me and establishing a better me. maybe stronghearted ,"To learn different methods of mindfulness techniques, look at which way is better and study different practices to different people",50,3,30,99,30,28,16,4,60,35,35,29,7,11,2,10,4,4,10,48,9,9,12,3,15,15,13,9,34,33,17,50,7775,4159,9/8/2023,Control,1
90,18,Female,NA,Straight,NA,Single/never been married,Southeast Asian,NA,India,Yes,Hinduism,NA,High school,NA,"$150,000 to $199,999",Wellbeing to me means the point where our mind and body are at peace. The feeling of being satisfied and aware of what is happening around me is also called wellbeing. Not letting my thoughts wander into something else while I'm trying to have fun is also called wellbeing. Soaking in and understanding everything that is happening around me is also called wellbeing. Wellbeing is a very broad term and can have different meanings for different people. ,"Family,Happiness,Meaning  and Purpose of Life",2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,Yes,Being aware of everything that is happening around me is known as mindfulness according to me.,Not being able to focus on anything or being upset is called stress for me,Mindfulness will help me become calmer and more focused towards my goals.,45,3,36,52,36,38,14,5,72,15,19,18,4,18,9,8,6,9,6,53,9,8,14,14,8,15,9,14,23,28,22,52,2554,4168,9/8/2023,Control,1
92,18,Female,NA,Prefer not to answer,NA,Single/never been married,Caucasian/White,NA,United States of America,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$100,000 to $149,999","Being mentally and physically healthy, and being happy","Family,Financial and Material Stability,Happiness",3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,No,NA,No,"Being aware of your own thoughts and emotions, and learning how to accept them",Feeling worried and overwhelmed by events happening in your life,I can explore different mindfulness techniques and find out if any might be useful for me,39,3,27,59,21,28,24,4,48,18,20,21,1,11,3,7,6,7,9,40,8,7,7,9,9,10,12,6,16,22,9,36,3405,4177,9/8/2023,Domain,1
93,18,Female,NA,Bisexual,NA,Single/never been married,East Asian,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,Prefer not to answer,"Wellbeing means being healthy (mentally and physically), and resilient. ","Mental Health,Meaning  and Purpose of Life,Life Satisfaction",NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,Being able to be at peace and observe the world with a clear and steady mind. ,"Feeling a pressure where nothing is right, and you feel horrible and scared. ","I assume some benefits would be to get a clearer mind, where I am not as consumed in my thoughts. As well, I'll feel calmer and more ready for challenges. I have no concerns. ",59,3,22,45,18,28,32,2,40,8,17,20,1,7,6,7,5,10,9,40,9,10,5,10,6,5,7,8,11,23,4,35,8559,4114,9/8/2023,Domain,1
94,20,Male,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Albania,Yes,Islam,NA,High school,NA,"$100,000 to $149,999",Wellbeing is the state of being mentally and physically healthy,"Family,Financial and Material Stability,Close Social Relationships",NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,1,NA,No,NA,Yes,The term mindfulness to me means the ability to be fully aware of your body and thoughts,The term stress means to me means the anxiety felt from unpleasant thoughts or upcoming tasks,The benefits I expect to get out of this training is to hopefully improve my ability to be mindful and incorporate mindfulness into my daily routine.,41,3,28,52,31,30,31,4,59,13,17,22,1,14,6,7,4,8,5,36,6,6,9,7,8,9,7,12,25,19,5,40,1388,4138,9/8/2023,Choice,1
95,18,Female,NA,Bisexual,NA,Single/never been married,South Asian,NA,England,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$100,000 to $149,999",Wellbeing refers to the condition of a persons mental and physical health,"Self-esteem,Close Social Relationships,Financial and Material Stability",NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,No,NA,No,To make yourself aware of the external and internal worlds and to reflect upon them from an outside perspective.,An overwhelming emotion which consists of intense anxieties over certain events.,I hope to be able to manage stress more effectively by the end of this training. And I have no concerns.,42,3,30,77,27,32,33,5,57,24,31,22,1,11,2,5,5,9,10,45,12,11,7,6,9,6,3,6,23,24,24,38,6096,4192,9/8/2023,Control,1
96,18,Female,NA,Prefer not to answer,NA,Single/never been married,East Asian,NA,China,No,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999",Wellbeing means to have a stable mood and good physical health while also having good social relationships with others. ,"Family,Financial and Material Stability,Happiness",3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,No,NA,Yes,Noticing my emotions and feelings and being able to separate them from facts and reality. ,Anxieties and worries about anything that makes me have a physical reaction.,I expect to learn a little bit more strategies to cope with stress and practice how to manage my anxieties. I am concerned about not being able to learn well or forgetting how to use these strategies when needed. ,43,3,34,54,23,24,20,4,57,14,19,21,2,16,4,9,4,9,8,40,13,8,7,5,7,6,10,10,10,11,6,39,8785,3649,9/8/2023,Domain,1
97,18,Male,NA,Straight,NA,Single/never been married,South Asian,NA,Canada,Yes,Islam,NA,High school,NA,Prefer not to answer,"Being confidently in tune and at peace with yourself emotionally, spiritually, socially, and physically.","Life Satisfaction,Family,Self-esteem",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,No,NA,Yes,"Being focused and aware of ones emotions, physical and mental states, and having control over them. The ability to recognize and have control over all aspects of yourself.",The state of being mentally or emotionally in a distressed or disturbed state that is different from the norm to the point where it affects daily activities and thoughts.,"I hope to gain better control over my body and emotions, particularly my tendency to get stressed and anxious often.",47,3,19,49,27,27,27,5,46,17,14,18,2,14,4,10,6,10,8,33,6,9,8,4,6,6,5,14,19,25,17,35,6001,4186,9/8/2023,Control,1
98,17,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Canada,No,Islam,NA,High school,NA,"$100,000 to $149,999",not being overhelmed by stress and feeling worthy of nourishing myself ,"Mental Health,Education,Life Satisfaction",NA,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,No,NA,Yes,being present in the moment and not thinking about the past or future,being overwhelmed by things you have to do that are coming up,"I expect to become more aware of my thoughts and feelings and how I act on them. No, I do not have any concerns about this training.",48,3,28,43,29,19,31,3,57,24,9,10,5,11,5,7,9,10,5,44,13,8,5,10,8,10,12,8,29,25,11,34,4429,3997,9/8/2023,Choice,1
99,19,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,israel,Yes,Islam,NA,High school,NA,"$150,000 to $199,999","living a life of peace, happiness and health in which one is able to cope with lifes natural stress in a healthy manner","Happiness,Life Satisfaction,Safety",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No,NA,Yes,the ability to regulate ones emotions and mental states with regard to stress or daily activities,disruptions in ones life that can result in distress and maladaptive behaviours if not regulated in a healthy manner,"no concerns, i expect to enhance mindfulness skills and be more consistent in mindfulness practices",51,3,28,67,28,41,42,4,56,31,20,16,3,11,4,7,5,9,10,41,12,9,6,5,9,11,10,15,20,30,18,34,8582,4030,9/8/2023,Control,1
100,20,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Syria,No,Islam,NA,High school,NA,Prefer not to answer,"Being in a state of balance and satisfaction with life, knowing that after every bad day there will be a good day waiting for you ","Life Satisfaction,Family,Spirituality",NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,Yes,My religion ,Yes,"Putting all my focus to the things I am doing, living the moment without any concern of the past or the future","A feeling associated to a stressful situation, a situation where I don’t feel comfortable ",My attention level will increase and I will be able to deal with stressful situations better,32,3,33,89,37,38,18,6,70,31,30,28,4,17,7,7,8,8,6,52,12,11,10,10,9,12,15,15,29,32,17,51,2716,3595,9/8/2023,Choice,1
101,18,Male,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,Christianity,NA,High school,NA,Prefer not to answer,how you feel mentally and physically on average throughout the day,"Physical Health,Mental Health,Life Satisfaction",NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,how you can control your thoughts and feelings in times of stress,a feeling that you can't overcome a certain problem or situation,I expect to develop a stronger skills for helping with my mindfulness,17,3,24,62,40,35,14,6,64,19,20,23,4,16,3,3,8,4,8,53,10,13,10,12,8,12,11,15,24,28,2,42,5474,3889,9/8/2023,Domain,1
102,19,Female,NA,Straight,NA,Single/never been married,Hispanic,NA,Nicaragua ,No,Christianity,NA,High school,NA,"$75,000 to $99,999","Wellbeing is the ability to be in a positive emotional, mental, and physical state constantly. That in turn, brings you happiness and peace.","Happiness,Close Social Relationships,Self-esteem",1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,No,NA,Yes,Being aware of your senses while keeping your thoughts away. It is a technique meant to help you focus on the present,Worry caused by stressors due to our brain interpreting the situation as a possibly danger. ,"The few times that I've done mindfulness techniques, I notices that I was engaging in my lectures more actively. Despite having many assignments, I was less stressed, so I expect to be more relaxed in my day to day.  ",47,3,31,60,17,38,34,4,48,24,19,17,2,9,5,8,7,9,6,44,11,6,9,9,9,14,13,13,16,28,10,32,7329,3706,9/8/2023,Control,1
103,18,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Canada,Yes,Islam,NA,High school,NA,"$50,000 to $74,999","To me the term ""wellbeing"" means being happy and content with the way things are going in your life. The way we feel things and are able to express them is also something I consider when talking about my wellbeing.","Happiness,Meaning  and Purpose of Life,Life Satisfaction",1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,Mindfulness is the state of being aware and present in your own mind and understanding and accepting your emotions.,Stress can be described as a mental strain that can translate to a physical one when things become overwhelming and we can't figure out a way to deal with it.,"I think after this training I'll be able to understand and appreciate being mindful, rather than brushing my emotions and stress to the side.",54,3,37,72,31,25,27,4,68,25,27,20,1,8,4,9,7,7,9,47,14,11,7,6,9,8,7,6,17,32,19,47,5547,3316,9/9/2023,Domain,1
105,18,Female,NA,Straight,NA,Single/never been married,South Asian,NA, Canada,Yes,Islam,NA,High school,NA,Prefer not to answer,Wellbeing means to me to be able to be physically and mentally ok. You can take care of yourself and complete tasks and be generally happy.,"Happiness,Mental Health,Physical Health",1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,mindfulness to me means being aware of your thoughts and feelings and being able to control them.,Stress to me means any negative feelings that make you worry for a while.,I think it might help with back to school anxiety.,56,3,19,36,24,43,47,3,43,12,14,10,3,9,6,4,4,10,8,31,9,9,4,3,6,9,9,6,12,15,9,31,9010,3565,9/9/2023,Control,1
106,18,Male,NA,Straight,NA,Single/never been married,East Asian,NA,Canada,Yes,Christianity,NA,High school,NA,"$75,000 to $99,999",Wellbeing describes the degree of content in ones life. ,"Happiness,Life Satisfaction,Mental Health",1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,Mindfulness means to be aware of others and your own emotions. ,Stress is the debilitating feeling that makes you feel like you are burning up.,I hope to be able to understand and control my emotions better. ,42,3,35,60,28,17,27,2,63,19,20,21,1,5,5,9,8,6,7,41,11,10,6,8,6,8,8,9,11,21,7,33,7733,4252,9/9/2023,Choice,1
